molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL202930;COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O;130.0;intermediate
CHEMBL376464;CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O;150.0;intermediate
CHEMBL4761168;COc1cc(Cc2nnc(S)n2/N=C\c2cccc(Cl)c2Cl)cc(OC)c1OC;170.0;intermediate
CHEMBL205166;c1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)nc1;190.0;intermediate
CHEMBL2369091;CCOP(=O)(OCC)[C@H](C)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32;200.0;intermediate
CHEMBL2369088;CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32;200.0;intermediate
CHEMBL374257;COc1cc(C(=O)c2n[nH]c3c(C#CCO)c(OC)ccc23)cc(OC)c1OC;240.0;intermediate
CHEMBL578405;COc1ccc([C@@H]2C[C@@H]2c2cc(OC)c(OC)c(OC)c2)cc1O;300.0;intermediate
CHEMBL2369078;C=CCC(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)P(=O)(OCC)OCC;300.0;intermediate
CHEMBL2369080;CCOP(=O)(OCC)C(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C;300.0;intermediate
CHEMBL388562;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)NCC(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;300.0;intermediate
CHEMBL2369096;CCOC(=O)CC(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)P(=O)(OCC)OCC;300.0;intermediate
CHEMBL2369087;CCOP(=O)(CNC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)OCC;300.0;intermediate
CHEMBL4545705;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccc(N)cc2)cc(OC)c1OC;330.0;intermediate
CHEMBL4585046;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccc(N)cc2)cc(OC)c1OC;360.0;intermediate
CHEMBL4536640;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2ccc(N)cc2)cc(OC)c1OC;380.0;intermediate
CHEMBL4286471;COc1cc(C(=O)c2c[nH]c3cc(-c4cccs4)ccc23)cc(OC)c1OC;380.0;intermediate
CHEMBL4854277;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccoc2)cc(OC)c1OC;380.0;intermediate
CHEMBL383065;c1cnc(NCC2CCCO2)c(-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1;390.0;intermediate
CHEMBL4864675;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccsc2)cc(OC)c1OC;390.0;intermediate
CHEMBL203974;c1ccc(CNc2ccccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)nc1;390.0;intermediate
CHEMBL2425492;COc1cc(-c2ncoc2-c2ccc(OC)c3[nH]cnc23)cc(OC)c1OC;390.0;intermediate
CHEMBL229110;COc1cc(C2C(C#N)=C(N)Oc3c2ccc2[nH]ccc32)cc(Br)c1OC;400.0;intermediate
CHEMBL373137;COc1cc(C2C(C#N)=C(N)Oc3cc(N(C)C)ccc32)cc2c1OCO2;400.0;intermediate
CHEMBL224542;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;400.0;intermediate
CHEMBL2369079;CCOP(=O)(OCC)[C@@H](NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C;400.0;intermediate
CHEMBL4562168;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2cccc(N)c2)cc(OC)c1OC;410.0;intermediate
CHEMBL4864923;CCOc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1;420.0;intermediate
CHEMBL4878768;COc1ccc2c(c1)CCCN2c1nc(Cl)nc2cnn(C)c12;420.0;intermediate
CHEMBL4873209;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccoc2)cc(OC)c1OC;420.0;intermediate
CHEMBL4566171;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2cccc(N)c2)cc(OC)c1OC;420.0;intermediate
CHEMBL4848963;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccncc2)cc(OC)c1OC;440.0;intermediate
CHEMBL15778;COc1cccc(-c2cc(O)c3cc(N4CCCC4)ccc3n2)c1;440.0;intermediate
CHEMBL4475841;COc1cccc(-c2cn(-c3ccccc3)cc2C(=O)c2cc(OC)c(OC)c(OC)c2)c1;450.0;intermediate
CHEMBL4875613;COc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1;450.0;intermediate
