molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL4547968;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccc(Br)cc2)cc(OC)c1OC;770.0;intermediate
CHEMBL4868298;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccccn2)cc(OC)c1OC;780.0;intermediate
CHEMBL4847168;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2nccs2)cc(OC)c1OC;780.0;intermediate
CHEMBL2369025;C=CCC1(CC/C(C)=C/C=C/CC/C=C\[C@@H]2CSC([C@@H]3C[C@@H]3C)=N2)OCCO1;780.0;intermediate
CHEMBL4445457;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccccc2F)cc(OC)c1OC;780.0;intermediate
CHEMBL4439584;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2ccc([N+](=O)[O-])cc2)cc(OC)c1OC;780.0;intermediate
CHEMBL4567934;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccccc2F)cc(OC)c1OC;790.0;intermediate
CHEMBL4549410;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccccc2C)cc(OC)c1OC;790.0;intermediate
CHEMBL380060;COc1cc(C(=O)c2cc(-c3ccc(C)cc3)sc2N)cc(OC)c1OC;800.0;intermediate
CHEMBL375887;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)O)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;800.0;intermediate
CHEMBL426016;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;800.0;intermediate
CHEMBL2369082;CCOP(=O)(OCC)[C@H](NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C;800.0;intermediate
CHEMBL5190895;COc1ccc2c(/C=C(\C)C(=O)c3cc(OC)c(OC)c([Se]C)c3)c[nH]c2c1;810.0;intermediate
CHEMBL508496;C=CC[C@@H](CC/C(C)=C/C=C\CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;820.0;intermediate
CHEMBL4850863;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccccn2)cc(OC)c1OC;820.0;intermediate
CHEMBL4856413;CSc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1;820.0;intermediate
CHEMBL278779;COc1cc2nc3occc3c(OC)c2cc1OC;820.0;intermediate
CHEMBL18351;COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O;830.0;intermediate
CHEMBL173603;CCCC(=O)O[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21;850.0;intermediate
CHEMBL3604200;COc1ccc2c(c1)CCCN2c1nc(NCCCO)nc2ccccc12;850.0;intermediate
CHEMBL212515;COc1cc(C(=O)c2cc(-c3ccc(F)cc3)sc2N)cc(OC)c1OC;860.0;intermediate
CHEMBL3318106;COc1cc(C(=O)c2ccn(-c3cccc(NS(C)(=O)=O)c3)c2)cc(OC)c1OC;860.0;intermediate
CHEMBL243034;COc1ccc(-c2snnc2-c2cc(OC)c(OC)c(OC)c2)cc1;860.0;intermediate
CHEMBL233192;COc1ccc(-c2nnsc2-c2cc(OC)c(OC)c(OC)c2)cc1O;860.0;intermediate
CHEMBL3126760;COc1ccc2c(c1)CCCCN2c1nc(C)nc2ccccc12;870.0;intermediate
CHEMBL4293951;COc1cc(Sc2c[nH]c3ccc(-c4ccco4)cc23)cc(OC)c1OC;870.0;intermediate
CHEMBL264716;C=CC[C@H](O)CC/C(C)=C/C=C/CC/C=C\C1CSC([C@@H]2C[C@@H]2C)=N1;870.0;intermediate
CHEMBL4472168;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2cccc(N)c2)cc(OC)c1OC;870.0;intermediate
CHEMBL173025;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1cccnc1)CC2;880.0;intermediate
CHEMBL4469894;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2cccc(N)c2)cc(OC)c1OC;880.0;intermediate
CHEMBL4174627;COc1ccc(-c2sc3cc(OC)ccc3c2Oc2cc(OC)c(OC)c(OC)c2)cc1;880.0;intermediate
CHEMBL3318112;COc1cc(C(=O)c2ccn(-c3ccc(C)cc3)c2)cc(OC)c1OC;900.0;intermediate
CHEMBL228768;COc1cc(C2C(C#N)=C(N)Oc3c2ccc2cc[nH]c32)cc(Br)c1OC;900.0;intermediate
CHEMBL4571506;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2cccc(N)c2)cc(OC)c1OC;910.0;intermediate
CHEMBL4117373;COc1ccc2c(c1)CCCN2c1nc(C)nc2c(Cc3ccccc3)cn(C)c12;910.0;intermediate
CHEMBL2369033;C=CCCC1=N[C@H](/C=C\CC/C=C/C=C(\C)CC[C@H](CC=C)OC)CS1;920.0;intermediate
CHEMBL2313489;COc1cc(Sc2c(-c3cn[nH]c3)[nH]c3ccccc23)cc(OC)c1OC;920.0;intermediate
CHEMBL2420868;CNc1nc(N2CCCc3cc(OC)ccc32)c2ccccc2n1;920.0;intermediate
CHEMBL2420867;COc1ccc2c(c1)CCCN2c1nc(Cl)nc2ccccc12;930.0;intermediate
CHEMBL4527126;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2cccc([N+](=O)[O-])c2)cc(OC)c1OC;940.0;intermediate
CHEMBL2313462;COc1ccc(-c2[nH]c3ccccc3c2Sc2cc(OC)c(OC)c(OC)c2)cc1;940.0;intermediate
CHEMBL3126922;COc1ccc2c(c1)C(=O)CCN2c1nc(C)nc2ccccc12;940.0;intermediate
CHEMBL2313809;COc1cc(Sc2c(-c3ccc(C)cc3)[nH]c3ccccc23)cc(OC)c1OC;940.0;intermediate
CHEMBL3335084;COc1ccc(Cn2cc(C(=O)Nc3cc(/C=C\c4cc(OC)c(OC)c(OC)c4)cc(OC)c3OC)nn2)cc1;950.0;intermediate
CHEMBL3318111;COc1cc(C(=O)c2ccn(-c3cccc(C)c3)c2)cc(OC)c1OC;950.0;intermediate
CHEMBL2313472;COc1cc(Sc2c(-c3ccncc3)[nH]c3ccccc23)cc(OC)c1OC;950.0;intermediate
CHEMBL2313799;COc1cc(Sc2c(-c3nccs3)[nH]c3ccccc23)cc(OC)c1OC;960.0;intermediate
CHEMBL4562859;COc1ccc(-n2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)c(-c3ccccc3)c2)cc1;960.0;intermediate
CHEMBL3126923;COc1ccc2c(c1)C(O)CCN2c1nc(C)nc2ccccc12;970.0;intermediate
CHEMBL387263;COc1cc(C(=O)c2sc(-c3cccc([N+](=O)[O-])c3)cc2N)cc(OC)c1OC;970.0;intermediate
CHEMBL555514;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccncc1)CC2.Cl;970.0;intermediate
CHEMBL3597219;COc1cc(Sc2c(-c3ccccc3)[nH]c3c(F)cccc23)cc(OC)c1OC;1000.0;intermediate
CHEMBL424708;Cc1nc(C)c(-c2csc(Nc3ccc(Br)cc3)n2)s1;1000.0;intermediate
CHEMBL2313477;COc1cc(Sc2c(-c3ccc4ccccc4c3)[nH]c3ccccc23)cc(OC)c1OC;1000.0;intermediate
CHEMBL4874942;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1/C=C/C(=O)Nc1ccccc1N;1000.0;intermediate
CHEMBL2420865;COc1ccc2c(c1)CCCN2c1cc(C)nc2ccccc12;1000.0;intermediate
CHEMBL426186;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)C(O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)NCC(=O)O)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4cccc(N)c4)C21)C3(C)C;1000.0;intermediate
CHEMBL2420866;COc1ccc2c(c1)CCCN2c1nc(C)nc2ccccc12;1000.0;intermediate
CHEMBL3318102;CNc1cccc(-n2ccc(C(=O)c3cc(OC)c(OC)c(OC)c3)c2)c1;1000.0;intermediate
CHEMBL3318091;COc1cc(C(=O)c2ccn(-c3ccccc3F)c2)cc(OC)c1OC;1000.0;intermediate
CHEMBL204710;c1cnc(NCc2ccncc2)c(-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1;1000.0;intermediate
CHEMBL2420863;COc1ccc2c(c1)CCCN2c1cc(Br)cc(C(=O)NC2CC2)c1;1000.0;intermediate
CHEMBL2322512;COc1ccc(C2CC2c2cc(OC)c(OC)c(OC)c2)cc1O;1000.0;intermediate
CHEMBL224592;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;1000.0;intermediate
CHEMBL1210677;COc1ccc(CON=C2c3ccccc3C(=O)c3ccccc32)cc1;1050.0;intermediate
CHEMBL2313464;COc1ccc(-c2[nH]c3ccccc3c2Sc2cc(OC)c(OC)c(OC)c2)cc1O;1100.0;intermediate
CHEMBL216379;COc1ccc(S(=O)(=O)N2CCc3cccc(NC(=O)c4ccncc4)c32)cc1;1100.0;intermediate
CHEMBL4524735;COc1cc(C(=O)c2cn(-c3cccc(F)c3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;1100.0;intermediate
CHEMBL217797;COc1cc(C(=O)c2sc(-c3ccc(C)cc3)cc2N)cc(OC)c1OC;1100.0;intermediate
CHEMBL173511;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccncc1)CC2;1100.0;intermediate
CHEMBL218188;COc1ccc(-c2cc(N)c(C(=O)c3cc(OC)c(OC)c(OC)c3)s2)cc1;1100.0;intermediate
CHEMBL217134;COc1ccc(-c2cc(N)c(C(=O)c3cc(OC)c(OC)c(OC)c3)s2)cc1OC;1100.0;intermediate
CHEMBL3329898;Cc1ccc(-c2noc(C3CCN(C(=O)NCc4ccccc4)CC3)n2)cc1;1100.0;intermediate
CHEMBL4854152;CC(C)Oc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1;1100.0;intermediate
CHEMBL210239;COc1ccc(-c2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)c(N)s2)cc1;1100.0;intermediate
CHEMBL3597212;COc1ccc2c(Sc3cc(OC)c(OC)c(OC)c3)c(-c3ccccc3)[nH]c2c1;1100.0;intermediate
CHEMBL2331949;COc1ccc(Nc2nc(-c3ccccc3F)no2)cc1;1100.0;intermediate
CHEMBL212074;CC[C@@]1(C)Oc2cc(c([S+]([O-])C[C@@H](O)C[C@H](N)C(=O)O)cc2O)[C@@H](O)[C@H](NC)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]1C(=O)NCC(=O)O;1100.0;intermediate
CHEMBL230741;COc1cc(C(=O)c2ccc3c(ccn3C)c2)cc(OC)c1OC;1100.0;intermediate
CHEMBL89479;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(=O)CC2;1100.0;intermediate
CHEMBL177199;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(Br)CC2;1100.0;intermediate
CHEMBL2313795;COc1cc(C(=O)c2c(-c3ccoc3)[nH]c3ccccc23)cc(OC)c1OC;1100.0;intermediate
CHEMBL3335080;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)c1cn(Cc2ccc(F)cc2)nn1;1160.0;intermediate
CHEMBL216327;COc1ccc(S(=O)(=O)N2CCc3cccc(NC(=O)c4ccco4)c32)cc1;1200.0;intermediate
CHEMBL2331943;CCOc1ccc(Nc2nc(-c3ccccc3)no2)cc1;1200.0;intermediate
CHEMBL3318115;COc1ccc(-n2ccc(C(=O)c3cc(OC)c(OC)c(OC)c3)c2)cc1;1200.0;intermediate
CHEMBL217472;COc1cc(C(=O)c2sc(-c3ccccc3)cc2N)cc(OC)c1OC;1200.0;intermediate
CHEMBL209011;COc1cccc(-c2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)c(N)s2)c1;1200.0;intermediate
CHEMBL217256;COc1cc(C(=O)c2sc(-c3ccccc3Cl)cc2N)cc(OC)c1OC;1200.0;intermediate
CHEMBL2313788;COc1cc(Sc2c(-c3cc[nH]n3)[nH]c3ccccc23)cc(OC)c1OC;1200.0;intermediate
CHEMBL2313792;COc1cc(Sc2c(-n3cncn3)[nH]c3ccccc23)cc(OC)c1OC;1200.0;intermediate
CHEMBL230846;CCn1ccc2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)ccc21;1200.0;intermediate
CHEMBL410661;COc1cc(C(=O)c2sc(-c3cccs3)cc2N)cc(OC)c1OC;1200.0;intermediate
CHEMBL376125;CCCCc1ccc2[nH]c(-c3ccc(OC)cc3)c(/C=N\C)c2c1;1200.0;intermediate
CHEMBL3597207;COc1cc(Sc2c(-c3ccccc3)[nH]c3cc(Cl)ccc23)cc(OC)c1OC;1200.0;intermediate
CHEMBL3318105;COc1cc(C(=O)c2ccn(-c3cccc(NC(=N)N)c3)c2)cc(OC)c1OC.Cl;1200.0;intermediate
CHEMBL3597223;COc1cc(Sc2c(-c3ccccc3)[nH]c3c(Cl)c(Cl)ccc23)cc(OC)c1OC;1200.0;intermediate
CHEMBL3597213;COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(-c3ccccc3)[nH]c2c1;1200.0;intermediate
CHEMBL4580200;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc(OC)c1OC;1200.0;intermediate
CHEMBL4460943;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;1200.0;intermediate
CHEMBL4527555;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccc(N)cc2)cc(OC)c1OC;1200.0;intermediate
CHEMBL3318119;COc1cc(C(=O)c2ccn(-c3cccc(O)c3)c2)cc(OC)c1OC;1200.0;intermediate
CHEMBL3597221;COc1cc(Sc2c(-c3ccccc3)[nH]c3c(OC)cccc23)cc(OC)c1OC;1200.0;intermediate
CHEMBL2369024;CCC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;1200.0;intermediate
CHEMBL172557;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(O)CC2;1200.0;intermediate
CHEMBL2298917;COc1cc(/C=C\c2ccc(C)c(N=[N+]=[N-])c2)cc(OC)c1OC;1202.26;intermediate
CHEMBL213163;Cc1nc2ccccc2n1-c1csc(Nc2ccc(Br)cc2)n1;1250.0;intermediate
CHEMBL5182796;COc1ccc(S(=O)(=O)N(CCSC(=S)N2CCN(C)CC2)c2cc(OC)c(OC)c(OC)c2)cc1;1270.0;intermediate
CHEMBL4858065;COc1ccc(-c2nc3nccc(-c4cc(OC)c(OC)c(OC)c4)n3n2)cc1O;1300.0;intermediate
CHEMBL379867;COc1cc(C(=O)c2cc(-c3ccccc3)sc2N)cc(OC)c1OC;1300.0;intermediate
CHEMBL3597206;COc1cc(C(=O)c2c(-c3ccccc3)[nH]c3cc(Br)ccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL217301;COc1cc(C(=O)c2sc(-c3ccsc3)cc2N)cc(OC)c1OC;1300.0;intermediate
CHEMBL3597194;COc1cc(Sc2c(-c3ccccc3)[nH]c3ccc(Br)cc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL3604201;COc1ccc2c(c1)CCCN2c1nc(NC2CC2)nc2ccccc12;1300.0;intermediate
CHEMBL4285681;COc1cc(Sc2c[nH]c3ccc(-c4cccs4)cc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL4285451;COc1cc(Sc2c[nH]c3c(-c4ccoc4)cccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL4288263;COc1cc(Sc2c[nH]c3c(-c4ccsc4)cccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL2322519;COc1cc([C@@H]2C[C@@H]2/C=C/c2ccccc2)cc(OC)c1OC;1300.0;intermediate
CHEMBL3597216;COc1cc(Sc2c(-c3ccccc3)[nH]c3c(Cl)cccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL4570431;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2cc(F)ccc2F)cc(OC)c1OC;1300.0;intermediate
CHEMBL355794;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(C)=O)CC2;1300.0;intermediate
CHEMBL298240;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N)CC2;1300.0;intermediate
CHEMBL2313470;COc1cc(Sc2c(-c3cccnc3)[nH]c3ccccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL3604205;COc1ccc2c(c1)CCCN2c1ncnc2ccccc12;1300.0;intermediate
CHEMBL4538271;COc1ccccc1-n1cc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(-c2ccccc2)c1;1300.0;intermediate
CHEMBL2313790;COc1cc(Sc2c(-n3ccnc3)[nH]c3ccccc23)cc(OC)c1OC;1300.0;intermediate
CHEMBL3318101;COc1cc(C(=O)c2ccn(-c3ccc(N)cc3)c2)cc(OC)c1OC;1300.0;intermediate
CHEMBL3318123;COc1ccc(-n2ccc(C(=O)c3cc(OC)c(OC)c(OC)c3)c2)cc1O;1300.0;intermediate
CHEMBL3126927;COc1ccc2c(c1)N(C)C(=O)CN2c1nc(C)nc2ccccc12;1300.0;intermediate
CHEMBL3393090;COc1ccc(/C=C/C(=O)c2ccccc2-c2ccc(F)cc2)cc1O;1300.0;intermediate
CHEMBL3410890;COc1ccc2c(c1O)NC(=O)CN=C2c1cc(OC)c(OC)c(OC)c1;1300.0;intermediate
CHEMBL3318122;COc1ccc(-n2ccc(C(=O)c3cc(OC)c(OC)c(OC)c3)c2)cc1N;1300.0;intermediate
CHEMBL4872489;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ncco2)cc(OC)c1OC;1400.0;intermediate
CHEMBL300300;Oc1nc(/C=C/c2ccccc2)nc2ccc(I)cc12;1400.0;intermediate
CHEMBL2331945;Cc1ccc(Nc2nc(-c3ccccc3)no2)cc1;1400.0;intermediate
CHEMBL2311855;COC(=O)c1ccc(Cl)nc1N(C)c1ccc(OC)cc1;1400.0;intermediate
CHEMBL2313819;COc1cc(C(=O)c2c(-c3ccc[nH]3)[nH]c3ccccc23)cc(OC)c1OC;1400.0;intermediate
CHEMBL3318095;COc1cc(C(=O)c2ccn(-c3ccc(F)cc3)c2)cc(OC)c1OC;1400.0;intermediate
CHEMBL291449;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)C13CCC(C)(C(=O)O1)C3(C)C)CC2;1400.0;intermediate
CHEMBL176317;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccccc1)CC2;1400.0;intermediate
CHEMBL3597208;COc1cc(C(=O)c2c(-c3ccccc3)[nH]c3cc(Cl)ccc23)cc(OC)c1OC;1400.0;intermediate
CHEMBL3318100;COc1cc(C(=O)c2ccn(-c3cccc(N)c3)c2)cc(OC)c1OC;1400.0;intermediate
CHEMBL1210679;COc1ccc(CON=C2c3ccccc3C(=O)c3ccccc32)cc1O;1430.0;intermediate
CHEMBL3318104;COc1cc(C(=O)c2ccn(-c3cccc(N(C)C)c3)c2)cc(OC)c1OC;1500.0;intermediate
CHEMBL386110;CC[C@@]1(C)Oc2cc(ccc2O)[C@@H](O)[C@H](NC)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]1C(=O)NCC(=O)O;1500.0;intermediate
CHEMBL2313468;COc1cc(Sc2c(-c3ccccn3)[nH]c3ccccc23)cc(OC)c1OC;1500.0;intermediate
CHEMBL107;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2;1500.0;intermediate
CHEMBL386210;COc1ccc(S(=O)(=O)N2CCc3cccc(NC(=O)c4ccc(F)cc4)c32)cc1;1500.0;intermediate
CHEMBL176535;CCCC(=O)OC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21;1500.0;intermediate
CHEMBL2369026;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@H](CSC(=O)[C@@H]1C[C@@H]1C)NC(C)=O)OC;1500.0;intermediate
CHEMBL47426;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1;1500.0;intermediate
CHEMBL3318085;COc1cc(C(=O)c2ccn(-c3ccccc3)c2)cc(OC)c1OC;1500.0;intermediate
CHEMBL217297;COc1cc(C(=O)c2sc(-c3ccc(F)cc3)cc2N)cc(OC)c1OC;1500.0;intermediate
CHEMBL2313452;COc1cc(Sc2c(-c3cc4ccccc4o3)[nH]c3ccccc23)cc(OC)c1OC;1500.0;intermediate
CHEMBL2312231;COCc1ccc(Cl)nc1N(C)c1ccc(OC)cc1;1500.0;intermediate
CHEMBL383751;COc1ccc(Nc2nnc(-c3cccnc3NCc3ccccn3)o2)cc1;1500.0;intermediate
CHEMBL3597224;COc1cc(C(=O)c2c(-c3ccccc3)[nH]c3c(Cl)c(Cl)ccc23)cc(OC)c1OC;1500.0;intermediate
CHEMBL2331936;COc1cccc(-c2noc(Nc3ccc(C)cc3)n2)c1;1500.0;intermediate
CHEMBL3597200;COc1cc(Sc2c(-c3ccccc3)[nH]c3ccc(F)cc23)cc(OC)c1OC;1500.0;intermediate
CHEMBL3597197;COc1cc(Sc2c(-c3ccccc3)[nH]c3ccc(Cl)cc23)cc(OC)c1OC;1500.0;intermediate
CHEMBL3799494;COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1OCc1cn(CCOc2cc(=O)oc3ccccc23)nn1;1550.0;intermediate
CHEMBL4743390;COc1cccc(-c2nnc3n2N=C(c2ccc(OC)c(N)c2)CS3)c1;1600.0;intermediate
CHEMBL2331948;Cc1ccc(Nc2nc(-c3ccccc3F)no2)cc1F;1600.0;intermediate
CHEMBL89341;COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(-c3ccc(OC)c(O)c3)[nH]c2c1;1600.0;intermediate
CHEMBL3329881;O=C(NCc1ccccc1)N1CCC(c2nc(-c3ccc(F)cc3)no2)CC1;1600.0;intermediate
CHEMBL2331956;CCOc1ccc(Nc2nc(-c3cccc(OC)c3)no2)cc1;1600.0;intermediate
CHEMBL2331955;CCc1ccc(Nc2nc(-c3cccc(OC)c3)no2)cc1;1600.0;intermediate
CHEMBL4535671;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2ccccc2)cc(OC)c1OC;1600.0;intermediate
CHEMBL381405;COc1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)cc1;1600.0;intermediate
CHEMBL2331950;Cc1ccc(Nc2nc(-c3ccccc3F)no2)cc1;1600.0;intermediate
CHEMBL4451655;COc1cccc(-n2cc(C(=O)c3cc(OC)c(OC)c(OC)c3)c(-c3ccccc3)c2)c1;1600.0;intermediate
CHEMBL89900;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1CC=C2;1600.0;intermediate
CHEMBL3597187;COc1cc(Sc2c(-c3ccccc3)[nH]c3cccc(Cl)c23)cc(OC)c1OC;1600.0;intermediate
CHEMBL2420880;COc1ccc(N(C)c2cc(Br)cc(C(=O)NC3CC3)c2)cc1;1600.0;intermediate
CHEMBL3597214;COc1cc(Sc2c(-c3ccccc3)[nH]c3c(Br)cccc23)cc(OC)c1OC;1600.0;intermediate
CHEMBL217041;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c(N)c1;1600.0;intermediate
CHEMBL3597191;COc1cc(C(=O)c2c(-c3ccccc3)[nH]c3cccc(F)c23)cc(OC)c1OC;1600.0;intermediate
CHEMBL3597209;COc1cc(Cc2c(-c3ccccc3)[nH]c3cc(Cl)ccc23)cc(OC)c1OC;1600.0;intermediate
CHEMBL229560;COc1cc(Sc2c[nH]c3ccc(Br)cc23)cc(OC)c1OC;1600.0;intermediate
CHEMBL3401783;COC(=O)Nc1nc2ccc(/C=C\c3cc(OC)c(OC)c(OC)c3)cc2[nH]1;1600.0;intermediate
CHEMBL5170564;CCCCc1ccc2nc(NC(=O)OC(C)CC)[nH]c2c1;1620.0;intermediate
CHEMBL5083520;COc1cc(-c2nnc3c(OC)cc(-c4ccc5c(ccn5C)c4)cn23)cc(OC)c1OC;1640.0;intermediate
CHEMBL3409623;Cc1ccc(S(=O)(=O)N2CC(=O)N3Cc4ccccc4[C@@H](OCc4ccccc4)[C@@H]3C2)cc1;1680.0;intermediate
CHEMBL3318125;COc1ccc(-n2ccc(C(=O)c3cc(OC)c(OC)c(OC)c3)c2)cc1OC(C)C;1700.0;intermediate
CHEMBL4546033;COc1cc(C(=O)c2cn(-c3ccc(Cl)cc3)cc2-c2ccccc2)cc(OC)c1OC;1700.0;intermediate
CHEMBL388306;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)O)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;1700.0;intermediate
CHEMBL4520914;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2cccc([N+](=O)[O-])c2)cc(OC)c1OC;1700.0;intermediate
CHEMBL2313787;COc1cc(C(=O)c2c(-c3cn[nH]c3)[nH]c3ccccc23)cc(OC)c1OC;1700.0;intermediate
CHEMBL2331947;CCOc1ccc(Nc2nc(-c3ccccc3F)no2)cc1;1700.0;intermediate
CHEMBL2313811;COc1cc(Sc2c(-c3ccccc3F)[nH]c3ccccc23)cc(OC)c1OC;1700.0;intermediate
CHEMBL386803;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2N)cc1O;1700.0;intermediate
CHEMBL2312232;COC(=O)c1ccc(C(F)(F)F)nc1N(C)c1ccc(OC)cc1;1700.0;intermediate
CHEMBL3597190;COc1cc(Sc2c(-c3ccccc3)[nH]c3cccc(F)c23)cc(OC)c1OC;1700.0;intermediate
CHEMBL213971;COc1ccc(S(=O)(=O)N2CCc3cccc(NC(=O)c4cccs4)c32)cc1;1700.0;intermediate
CHEMBL2331944;COc1ccc(Nc2nc(-c3ccccc3)no2)cc1Cl;1700.0;intermediate
CHEMBL2313813;COc1cc(Sc2c(-c3cccc(F)c3)[nH]c3ccccc23)cc(OC)c1OC;1700.0;intermediate
CHEMBL4283677;CCOc1ccc(-c2cc(C)nn2-c2cc(OC)c(OC)c(OC)c2)cc1Cl;1700.0;intermediate
